First Name,Last Name,Email,Gender,Age,Profession,Employer,Employer Address,Base Salary,Credit Score,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Credit Marks,Personality Marks,Spending Marks,Final Marks
Trstram,Boldra,tboldra0@cdbaby.com,Male,65,Professor,Quamba,92862 Helena Parkway,59447,625.0,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,53.0,67.0,69.0,89.0
Dallon,Borgne,dborgne1@wisc.edu,Male,45,Web Designer III,Yotz,86779 Kingsford Center,64909,576.0,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,61.0,72.0,86.0,62.0
Orsa,Harte,oharte2@reference.com,Female,21,Recruiter,Flipbug,35 Nelson Road,33524,618.0,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,83.0,63.0,53.0,50.0
Vicki,Trencher,vtrencher3@pen.io,Female,37,Nurse Practicioner,Chatterpoint,45 Dayton Drive,44881,788.0,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Disagree,54.0,59.0,70.0,75.0
Lurlene,Lawie,llawie4@purevolume.com,Female,45,Human Resources Manager,Rhynyx,626 Butterfield Lane,29670,620.0,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,80.0,76.0,84.0,64.0
Jeffie,Kemble,jkemble5@linkedin.com,Male,33,Data Coordiator,Tazzy,76 Melody Avenue,65228,706.0,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Disagree,95.0,53.0,61.0,52.0
L;urette,Gawkes,lgawkes6@tripadvisor.com,Female,22,Automation Specialist IV,Oba,229 Truax Hill,51165,842.0,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree,50.0,54.0,74.0,69.0
Bruno,Cambridge,bcambridge7@sakura.ne.jp,Male,25,Technical Writer,Wikivu,6 Eggendart Street,91184,712.0,Neutral,Neutral,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Neutral,57.0,82.0,70.0,89.0
Cloris,Manolov,cmanolov8@issuu.com,Female,38,Research Nurse,Skiptube,23015 Mccormick Plaza,35426,675.0,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,70.0,80.0,96.0,61.0
Cobby,Warcop,cwarcop9@pcworld.com,Male,21,Research Nurse,Lazz,28514 Esch Point,75047,626.0,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,87.0,52.0,53.0,51.0
Loy,Verrillo,lverrilloa@de.vu,Male,33,Civil Engineer,Browseblab,94 Sutherland Avenue,61159,662.0,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,90.0,78.0,58.0,85.0
Elvin,Kivlehan,ekivlehanb@tiny.cc,Male,58,Graphic Designer,Livepath,24916 Amoth Way,41133,614.0,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Disagree,91.0,96.0,84.0,86.0
Druci,Rawet,drawetc@netvibes.com,Female,50,Marketing Manager,Jabberbean,0 Doe Crossing Place,85327,602.0,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Neutral,Neutral,Neutral,86.0,58.0,90.0,55.0
Tucky,Picopp,tpicoppd@soundcloud.com,Male,59,Marketing Manager,Dablist,7 Susan Parkway,27079,639.0,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,51.0,57.0,93.0,74.0
Batholomew,McCaghan,bmccaghane@europa.eu,Male,34,Recruiter,Innojam,7916 Sachs Circle,34673,863.0,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,55.0,58.0,53.0,81.0
Ardisj,Mamwell,amamwellf@mlb.com,Female,32,Staff Scientist,Flipstorm,087 Crownhardt Court,75434,722.0,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,79.0,81.0,73.0,56.0
Lennie,Hands,lhandsg@lycos.com,Male,61,Data Coordiator,Zoombox,8 Shoshone Point,96163,723.0,Neutral,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Strongly Agree,59.0,79.0,88.0,61.0
Rriocard,Sirman,rsirmanh@canalblog.com,Male,47,VP Marketing,Twimm,5904 Forest Place,83571,648.0,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,100.0,79.0,84.0,55.0
Garvy,Arminger,garmingeri@symantec.com,Male,32,Pharmacist,Trunyx,56 Hoffman Point,48272,641.0,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,97.0,81.0,52.0,73.0
Berkeley,Bartelli,bbartellij@noaa.gov,Male,51,Marketing Assistant,Shuffledrive,92378 Arrowood Way,35901,555.0,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Disagree,98.0,52.0,53.0,89.0
Deidre,Rigg,driggk@eepurl.com,Female,35,Accountant IV,Yozio,7907 Forster Hill,88535,761.0,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Neutral,60.0,53.0,59.0,84.0
Gwendolen,Radmore,gradmorel@paginegialle.it,Female,63,Developer IV,Riffpath,11 Everett Street,66272,898.0,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,69.0,53.0,55.0,80.0
Trixy,Kittles,tkittlesm@mayoclinic.com,Female,28,Associate Professor,Gigabox,27179 Brown Lane,84007,713.0,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,59.0,91.0,61.0,83.0
Quinta,Daybell,qdaybelln@opera.com,Female,21,VP Marketing,Brainsphere,9 Colorado Plaza,65786,703.0,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,88.0,81.0,94.0,52.0
Abdel,Stoggles,astoggleso@senate.gov,Male,34,Software Test Engineer I,Youbridge,7 Montana Parkway,88027,640.0,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,73.0,62.0,67.0,73.0
Xenia,Bellis,xbellisp@t.co,Polygender,45,Financial Advisor,Demizz,5 Colorado Way,27543,693.0,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,86.0,97.0,59.0,52.0
Margot,Scott,mscottq@wufoo.com,Female,43,Librarian,Rhynoodle,522 Daystar Park,85632,836.0,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,67.0,90.0,99.0,86.0
Enriqueta,Stanbra,estanbrar@washington.edu,Female,28,Nuclear Power Engineer,Topiczoom,5 Dwight Crossing,63753,601.0,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,56.0,70.0,82.0,77.0
